Band,SZA,VZA,RAA,R_atm
B1,20,30,130,0.084
B1,20,30,140,0.082
B1,20,30,150,0.081
B1,20,30,160,0.08
B1,20,30,170,0.08
B1,20,30,180,0.08
B1,20,40,0,0.115
B1,20,40,10,0.115
B1,20,40,20,0.114
B1,20,40,30,0.112
B1,20,40,40,0.11
B1,20,40,50,0.107
B1,20,40,60,0.104
B1,20,40,70,0.101
B1,20,40,80,0.098
B1,20,40,90,0.095
B1,20,40,100,0.092
B1,20,40,110,0.089
B1,20,40,120,0.087
B1,20,40,130,0.084
B1,20,40,140,0.083
B1,20,40,150,0.081
B1,20,40,160,0.08
B1,20,40,170,0.08
B1,20,40,180,0.08
B1,20,50,0,0.125
B1,20,50,10,0.125
B1,20,50,20,0.124
B1,20,50,30,0.122
B1,20,50,40,0.119
B1,20,50,50,0.116
B1,20,50,60,0.112
B1,20,50,70,0.108
B1,20,50,80,0.104
B1,20,50,90,0.101
B1,20,50,100,0.097
B1,20,50,110,0.094
B1,20,50,120,0.091
B1,20,50,130,0.089
B1,20,50,140,0.087
B1,20,50,150,0.086
B1,20,50,160,0.085
B1,20,50,170,0.084
B1,20,50,180,0.084
B1,20,60,0,0.141
B1,20,60,10,0.141
B1,20,60,20,0.139
B1,20,60,30,0.137
B1,20,60,40,0.133
B1,20,60,50,0.129
B1,20,60,60,0.125
B1,20,60,70,0.121
B1,20,60,80,0.116
B1,20,60,90,0.112
B1,20,60,100,0.109
B1,20,60,110,0.105
B1,20,60,120,0.103
B1,20,60,130,0.101
B1,20,60,140,0.099
B1,20,60,150,0.098
B1,20,60,160,0.097
B1,20,60,170,0.097
B1,20,60,180,0.096
B1,20,70,0,0.169
B1,20,70,10,0.169
B1,20,70,20,0.167
B1,20,70,30,0.164
B1,20,70,40,0.16
B1,20,70,50,0.156
B1,20,70,60,0.151
B1,20,70,70,0.146
B1,20,70,80,0.141
B1,20,70,90,0.137
B1,20,70,100,0.134
B1,20,70,110,0.131
B1,20,70,120,0.129
B1,20,70,130,0.127
B1,20,70,140,0.126
B1,20,70,150,0.126
B1,20,70,160,0.125
B1,20,70,170,0.125
B1,20,70,180,0.125
B1,20,80,0,0.229
B1,20,80,10,0.228
B1,20,80,20,0.226
B1,20,80,30,0.222
B1,20,80,40,0.218
B1,20,80,50,0.212
B1,20,80,60,0.207
B1,20,80,70,0.202
B1,20,80,80,0.198
B1,20,80,90,0.194
B1,20,80,100,0.191
B1,20,80,110,0.19
B1,20,80,120,0.189
B1,20,80,130,0.19
B1,20,80,140,0.19
B1,20,80,150,0.191
B1,20,80,160,0.192
B1,20,80,170,0.193
B1,20,80,180,0.193
B1,30,0,0,0.091
B1,30,0,10,0.091
B1,30,0,20,0.091
B1,30,0,30,0.091
B1,30,0,40,0.091
B1,30,0,50,0.091
B1,30,0,60,0.091
B1,30,0,70,0.091
B1,30,0,80,0.091
B1,30,0,90,0.091
B1,30,0,100,0.091
B1,30,0,110,0.091
B1,30,0,120,0.091
B1,30,0,130,0.091
B1,30,0,140,0.091
B1,30,0,150,0.091
B1,30,0,160,0.091
B1,30,0,170,0.091
B1,30,0,180,0.091
B1,30,10,0,0.099
B1,30,10,10,0.099
B1,30,10,20,0.099
B1,30,10,30,0.098
B1,30,10,40,0.097
B1,30,10,50,0.096
B1,30,10,60,0.095
B1,30,10,70,0.094
B1,30,10,80,0.093
B1,30,10,90,0.091
B1,30,10,100,0.09
B1,30,10,110,0.089
B1,30,10,120,0.088
B1,30,10,130,0.087
B1,30,10,140,0.086
B1,30,10,150,0.085
B1,30,10,160,0.085
B1,30,10,170,0.085
B1,30,10,180,0.085
B1,30,20,0,0.108
B1,30,20,10,0.108
B1,30,20,20,0.107
B1,30,20,30,0.106
B1,30,20,40,0.104
B1,30,20,50,0.102
B1,30,20,60,0.1
B1,30,20,70,0.097
B1,30,20,80,0.095
B1,30,20,90,0.092
B1,30,20,100,0.09
B1,30,20,110,0.088
B1,30,20,120,0.086
B1,30,20,130,0.084
B1,30,20,140,0.082
B1,30,20,150,0.081
B1,30,20,160,0.08
B1,30,20,170,0.08
B1,30,20,180,0.08
B1,30,30,0,0.118
B1,30,30,10,0.117
B1,30,30,20,0.116
B1,30,30,30,0.114
B1,30,30,40,0.112
B1,30,30,50,0.109
B1,30,30,60,0.105
B1,30,30,70,0.102
B1,30,30,80,0.098
B1,30,30,90,0.094
B1,30,30,100,0.091
B1,30,30,110,0.088
B1,30,30,120,0.085
B1,30,30,130,0.082
B1,30,30,140,0.08
